Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
70,2,9,01:56:41,158489.3,1,0,110.00,110.01,108.01,22.58572,1.429383,6.328702E-02,-4428.436,
71,2,10,01:56:47,125892.5,1,0,110.00,110.01,108.01,22.77618,1.562326,6.859475E-02,-5524.6,
72,2,11,01:56:52,100000,1,0,110.00,110.01,108.01,22.99165,1.709003,7.433145E-02,-6884.259,
73,2,12,01:56:58,79432.82,1,0,110.00,110.01,108.01,23.23409,1.862729,8.017226E-02,-8568.644,
74,2,13,01:57:07,63095.73,1,0,110.00,110.01,108.01,23.51904,2.00979,8.545373E-02,-10647.33,
75,2,14,01:57:12,50118.72,1,0,110.00,110.01,108.01,23.81758,2.170487,9.112963E-02,-13223.03,
76,2,15,01:57:18,39810.72,1,0,110.00,110.01,108.01,24.15094,2.333786,9.663334E-02,-16400.21,
77,2,16,01:57:24,31622.78,1,0,110.00,110.01,108.01,24.52011,2.49478,0.1017442,-20315.38,
78,2,17,01:57:30,25118.86,1,0,110.00,110.01,108.01,24.91703,2.653465,0.106492,-25143.55,
79,2,18,01:57:36,19952.62,1,0,110.00,110.01,108.01,25.34999,2.798873,0.1104092,-31087.11,
80,2,19,01:57:42,15848.93,1,0,110.00,110.01,108.01,25.81487,2.926177,0.1133524,-38406.59,
81,2,20,01:57:48,12589.25,1,0,110.00,110.01,108.01,26.30946,3.03229,0.1152547,-47421.73,
82,2,21,01:57:53,10000,1,0,110.00,110.01,108.01,26.8298,3.105258,0.1157391,-58536.09,
83,2,22,01:57:59,7943.282,1,0,110.00,110.01,108.01,27.37072,3.143515,0.1148496,-72250.83,
84,2,23,01:58:05,6309.573,1,0,110.00,110.01,108.01,27.91989,3.13733,0.112369,-89218.94,
85,2,24,01:58:11,5011.873,1,0,110.00,110.01,108.01,28.46416,3.091412,0.1086072,-110262.8,
86,2,25,01:58:17,3981.072,1,0,110.00,110.01,108.01,29.00154,2.993855,0.1032309,-136394.1,
87,2,26,01:58:23,3162.278,1,0,110.00,110.01,108.01,29.51383,2.856575,9.678768E-02,-168944.9,
88,2,27,01:58:29,2511.886,1,0,110.00,110.01,108.01,29.98733,2.675839,8.923231E-02,-209622.6,
89,2,28,01:58:35,1995.262,1,0,110.00,110.01,108.01,30.41858,2.467857,8.112993E-02,-260514.7,
90,2,29,01:58:41,1584.893,1,0,110.00,110.01,108.01,30.79544,2.235513,7.259232E-02,-324377.9,
91,2,30,01:58:47,1258.925,1,0,110.00,110.01,108.01,31.12106,1.996498,6.415264E-02,-404559.4,
92,2,31,01:58:53,1000,1,0,110.00,110.01,108.01,31.39038,1.754186,5.588291E-02,-505439.9,
93,2,32,01:58:59,794.3282,1,0,110.00,110.01,108.01,31.61499,1.523529,0.0481901,-632295.1,
94,2,33,01:59:05,630.9573,1,0,110.00,110.01,108.01,31.79469,1.308609,4.115809E-02,-792009.9,
95,2,34,01:59:11,501.1872,1,0,110.00,110.01,108.01,31.93308,1.109913,3.475745E-02,-993241.9,
96,2,35,01:59:17,398.1072,1,0,110.00,110.01,108.01,32.03762,0.9321077,2.909417E-02,-1246788,
97,2,36,01:59:23,316.2278,1,0,110.00,110.01,108.01,32.1216,0.7801533,2.428749E-02,-1565910,
98,2,37,01:59:31,251.1886,1,0,110.00,110.01,108.01,32.18229,0.6483807,2.014713E-02,-1968009,
99,2,38,01:59:36,199.5262,1,0,110.00,110.01,108.01,32.22644,0.5377017,1.668511E-02,-2474498,
100,2,39,01:59:42,158.4893,1,0,110.00,110.01,108.01,32.26513,0.4418306,1.369375E-02,-3111755,
