Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
0.306752 -0.491428 -0.844734 -0.263405 0.314938
0.315323 -0.482857 -0.84698 -0.260638 0.33062
0.323895 -0.474285 -0.849202 -0.257737 0.346301
0.332466 -0.465714 -0.851398 -0.254701 0.361983
0.341038 -0.457142 -0.853568 -0.251532 0.377665
0.349609 -0.448571 -0.85571 -0.248227 0.393346
0.35818 -0.439999 -0.857823 -0.244788 0.409028
0.366752 -0.431428 -0.859906 -0.241215 0.424709
0.375323 -0.422857 -0.861957 -0.237567 0.419637
0.383895 -0.414285 -0.863979 -0.234036 0.404187
0.392466 -0.405714 -0.86597 -0.230638 0.388737
0.401038 -0.397142 -0.867933 -0.227372 0.373288
0.409609 -0.388571 -0.869868 -0.224239 0.357838
0.41818 -0.379999 -0.871777 -0.221238 0.342389
0.426752 -0.371428 -0.873661 -0.218369 0.326939
0.435323 -0.362857 -0.875521 -0.215633 0.311489
0.443895 -0.354285 -0.877358 -0.21303 0.29604
0.452466 -0.345714 -0.879173 -0.210558 0.28059
0.461038 -0.337142 -0.880968 -0.208219 0.265141
0.469609 -0.328571 -0.882743 -0.206013 0.249691
0.47818 -0.319999 -0.8845 -0.203939 0.234242
0.486752 -0.311428 -0.88624 -0.201997 0.218792
0.495323 -0.302857 -0.887963 -0.200188 0.203342
0.503895 -0.294285 -0.889672 -0.198512 0.187893
0.512466 -0.285714 -0.891367 -0.196967 0.172443
0.521038 -0.277142 -0.893048 -0.195446 0.182434
0.529609 -0.268571 -0.894717 -0.19384 0.19243
0.53818 -0.259999 -0.896371 -0.192148 0.202427
0.546752 -0.251428 -0.898011 -0.19037 0.212423
0.555323 -0.242857 -0.899634 -0.188506 0.222419
0.563895 -0.234285 -0.901242 -0.186557 0.232415
0.572466 -0.225714 -0.902832 -0.184522 0.242412
0.581038 -0.217142 -0.904405 -0.182401 0.252408
0.589609 -0.208571 -0.905959 -0.180195 0.262404
0.59818 -0.199999 -0.907494 -0.177903 0.272401
0.606752 -0.191428 -0.909008 -0.175525 0.282397
0.615323 -0.182857 -0.910502 -0.173062 0.292393
0.623895 -0.174285 -0.911975 -0.170513 0.302389
0.632466 -0.165714 -0.913425 -0.167878 0.312386
0.641038 -0.157142 -0.914853 -0.165157 0.322382
0.649609 -0.148571 -0.916256 -0.162351 0.332378
0.65818 -0.139999 -0.917636 -0.159469 0.335567
0.666752 -0.131428 -0.91899 -0.156638 0.325121
0.675323 -0.122857 -0.920321 -0.153896 0.314675
0.683895 -0.114285 -0.921629 -0.151243 0.304229
0.692466 -0.105714 -0.922914 -0.14868 0.293783
0.701038 -0.0971423 -0.924178 -0.146207 0.283337
0.709609 -0.0885709 -0.925421 -0.143823 0.272891
0.71818 -0.0799994 -0.926644 -0.141529 0.262445
0.726752 -0.071428 -0.927847 -0.139324 0.251999
0.735323 -0.0628566 -0.929032 -0.137209 0.241553
0.743895 -0.0542852 -0.9302 -0.135183 0.231107
0.752466 -0.0457137 -0.93135 -0.133247 0.220661
0.761038 -0.0371423 -0.932484 -0.1314 0.210215
0.769609 -0.0285709 -0.933603 -0.129643 0.199769
0.77818 -0.0199994 -0.934707 -0.127976 0.189323
0.786752 -0.011428 -0.935797 -0.126398 0.178877
0.795323 -0.00285659 -0.936874 -0.124909 0.168432
0.803895 0.00571484 -0.937938 -0.12347 0.171985
0.812466 0.0142863 -0.93899 -0.121951 0.182537
0.821038 0.0228577 -0.940029 -0.120341 0.193088
0.829609 0.0314291 -0.941053 -0.118641 0.20364
0.83818 0.0400006 -0.942062 -0.11685 0.214192
0.846752 0.048572 -0.943056 -0.114969 0.224743
0.855323 0.0571434 -0.944033 -0.112997 0.235295
0.863895 0.0657148 -0.944993 -0.110935 0.245847
0.872466 0.0742863 -0.945934 -0.108783 0.256398
0.881038 0.0828577 -0.946857 -0.10654 0.26695
0.889609 0.0914291 -0.947761 -0.104207 0.277501
0.89818 0.100001 -0.948643 -0.101783 0.288053
0.906752 0.108572 -0.949505 -0.0992686 0.298605
0.915323 0.117143 -0.950345 -0.096664 0.309156
0.923895 0.125715 -0.951162 -0.0939688 0.319708
0.932466 0.134286 -0.951956 -0.0911833 0.33026
0.941038 0.142858 -0.952725 -0.0883072 0.340811
0.949609 0.151429 -0.953469 -0.0854367 0.328968
0.95818 0.160001 -0.95419 -0.0826678 0.317121
0.966752 0.168572 -0.954887 -0.0800004 0.305274
0.975323 0.177143 -0.955562 -0.0774345 0.293427
0.983895 0.185715 -0.956215 -0.0749702 0.28158
0.992466 0.194286 -0.956847 -0.0726074 0.269733
1.00104 0.202858 -0.95746 -0.0703462 0.257886
1.00961 0.211429 -0.958053 -0.0681865 0.246038
1.01818 0.220001 -0.958629 -0.0661284 0.234191
1.02675 0.228572 -0.959187 -0.0641718 0.222344
1.03532 0.237143 -0.959729 -0.0623168 0.210497
1.04389 0.245715 -0.960256 -0.0605633 0.19865
1.05247 0.254286 -0.960768 -0.0589114 0.186803
1.06104 0.262858 -0.961266 -0.057361 0.174956
1.06961 0.271429 -0.961751 -0.0559121 0.163109
1.07818 0.280001 -0.962225 -0.0545648 0.151262
1.08675 0.288572 -0.962687 -0.0533067 0.148072
1.09532 0.297143 -0.963138 -0.051977 0.162182
1.10389 0.305715 -0.963578 -0.0505264 0.176292
1.11247 0.314286 -0.964004 -0.0489549 0.190401
1.12104 0.322858 -0.964417 -0.0472624 0.204511
1.12961 0.331429 -0.964814 -0.045449 0.21862
1.13818 0.340001 -0.965195 -0.0435146 0.23273
1.14675 0.348572 -0.96556 -0.0414593 0.246839
1.15532 0.357143 -0.965906 -0.0392831 0.260949
1.16389 0.365715 -0.966233 -0.0369859 0.275058
1.17247 0.374286 -0.966539 -0.0345678 0.289168
1.18104 0.382858 -0.966825 -0.0320288 0.303278
1.18961 0.391429 -0.967088 -0.0293688 0.317387
1.19818 0.400001 -0.967328 -0.0265878 0.331497
1.20675 0.408572 -0.967544 -0.023686 0.345606
1.21532 0.417143 -0.967734 -0.0206632 0.359716
1.22389 0.425715 -0.967897 -0.0175194 0.373825
1.23247 0.434286 -0.968034 -0.0143148 0.366895
1.24104 0.442858 -0.968143 -0.0112448 0.349443
1.24961 0.451429 -0.968227 -0.00832438 0.331992
1.25818 0.460001 -0.968286 -0.00555352 0.31454
1.26675 0.468572 -0.968323 -0.00293226 0.297089
1.27532 0.477143 -0.968337 -0.000460574 0.279637
1.28389 0.485715 -0.968331 0.00186153 0.262186
1.29247 0.494286 -0.968306 0.00403404 0.244734
1.30104 0.502858 -0.968262 0.00605697 0.227283
1.30961 0.511429 -0.968202 0.00793032 0.209831
1.31818 0.520001 -0.968127 0.00965408 0.19238
1.32675 0.528572 -0.968037 0.0112283 0.174929
1.33532 0.537143 -0.967935 0.0126529 0.157477
1.34389 0.545715 -0.967821 0.0139279 0.140026
1.35247 0.554286 -0.967696 0.0150533 0.122574
1.36104 0.562858 -0.967563 0.0160291 0.105123
1.36961 0.571429 -0.967422 0.0168554 0.0876712
1.37818 0.580001 -0.967274 0.0176634 0.100873
1.38675 0.588572 -0.967119 0.0185847 0.114075
1.39532 0.597143 -0.966955 0.019619 0.127276
1.40389 0.605715 -0.966782 0.0207665 0.140478
1.41247 0.614286 -0.966599 0.0220272 0.15368
1.42104 0.622858 -0.966404 0.023401 0.166882
1.42961 0.631429 -0.966197 0.024888 0.180083
1.43818 0.640001 -0.965977 0.0264882 0.193285
1.44675 0.648572 -0.965743 0.0282015 0.206487
1.45532 0.657143 -0.965494 0.030028 0.219689
1.46389 0.665715 -0.965228 0.0319676 0.23289
1.47247 0.674286 -0.964945 0.0340204 0.246092
1.48104 0.682858 -0.964644 0.0361863 0.259294
1.48961 0.691429 -0.964325 0.0384654 0.272496
1.49818 0.700001 -0.963985 0.0408577 0.285697
1.50675 0.708572 -0.963624 0.0433631 0.298899
1.51532 0.717143 -0.963241 0.0459725 0.305698
1.52389 0.725715 -0.962836 0.048567 0.299677
1.53247 0.734286 -0.962409 0.0511098 0.293657
1.54104 0.742858 -0.96196 0.0536011 0.287636
1.54961 0.751429 -0.96149 0.0560407 0.281616
1.55818 0.76 -0.960999 0.0584288 0.275595
1.56675 0.768572 -0.960488 0.0607652 0.269575
1.57532 0.777143 -0.959958 0.0630501 0.263554
1.58389 0.785715 -0.959408 0.0652833 0.257534
1.59247 0.794286 -0.958839 0.0674649 0.251513
1.60104 0.802858 -0.958251 0.069595 0.245493
1.60961 0.811429 -0.957646 0.0716734 0.239473
1.61818 0.82 -0.957023 0.0737002 0.233452
1.62675 0.828572 -0.956382 0.0756754 0.227432
1.63532 0.837143 -0.955726 0.077599 0.221411
