PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 3.7276e-02	 1.2500e+02	 1.9310e+01	 2.5766e+03
 2.6827e-02	 1.2500e+02	 2.5227e+01	 3.5555e+03
 1.0000e+07	 1.2000e+02	 2.4879e+00	 8.3672e-02
 7.1969e+06	 1.2000e+02	 2.5115e+00	 1.8294e-01
 5.1795e+06	 1.2000e+02	 2.5287e+00	 2.1342e-01
 3.7276e+06	 1.2000e+02	 2.5679e+00	 2.3949e-01
 2.6827e+06	 1.2000e+02	 2.6111e+00	 2.7595e-01
 1.9307e+06	 1.2000e+02	 2.6683e+00	 3.1319e-01
 1.3895e+06	 1.2000e+02	 2.7393e+00	 3.4677e-01
 1.0000e+06	 1.2000e+02	 2.8151e+00	 3.8282e-01
 7.1969e+05	 1.2000e+02	 2.9058e+00	 4.2430e-01
 5.1795e+05	 1.2000e+02	 3.0065e+00	 4.4970e-01
 3.7276e+05	 1.2000e+02	 3.1161e+00	 4.6740e-01
 2.6827e+05	 1.2000e+02	 3.2318e+00	 4.7408e-01
 1.9307e+05	 1.2000e+02	 3.3499e+00	 4.6744e-01
 1.3895e+05	 1.2000e+02	 3.4650e+00	 4.4635e-01
 1.0000e+05	 1.2000e+02	 3.5715e+00	 4.1163e-01
 7.1969e+04	 1.2000e+02	 3.6646e+00	 3.6667e-01
 5.1795e+04	 1.2000e+02	 3.7411e+00	 3.1596e-01
 3.7276e+04	 1.2000e+02	 3.8013e+00	 2.6440e-01
 2.6827e+04	 1.2000e+02	 3.8457e+00	 2.1629e-01
 1.9307e+04	 1.2000e+02	 3.8775e+00	 1.7425e-01
 1.3895e+04	 1.2000e+02	 3.8999e+00	 1.3946e-01
 1.0000e+04	 1.2000e+02	 3.9156e+00	 1.1196e-01
 7.1969e+03	 1.2000e+02	 3.9266e+00	 9.1403e-02
 5.1795e+03	 1.2000e+02	 3.9341e+00	 7.7047e-02
 3.7276e+03	 1.2000e+02	 3.9400e+00	 6.8496e-02
 2.6827e+03	 1.2000e+02	 3.9439e+00	 6.5489e-02
 1.9307e+03	 1.2000e+02	 3.9467e+00	 6.8247e-02
 1.3895e+03	 1.2000e+02	 3.9487e+00	 7.7397e-02
 1.0000e+03	 1.2000e+02	 3.9504e+00	 9.4166e-02
 7.1969e+02	 1.2000e+02	 3.9520e+00	 1.2053e-01
 5.1795e+02	 1.2000e+02	 3.9534e+00	 1.5949e-01
 3.7276e+02	 1.2000e+02	 3.9550e+00	 2.1534e-01
 2.6827e+02	 1.2000e+02	 3.9571e+00	 2.9407e-01
 1.9307e+02	 1.2000e+02	 3.9601e+00	 4.0416e-01
 1.3895e+02	 1.2000e+02	 3.9648e+00	 5.5743e-01
 1.0000e+02	 1.2000e+02	 3.9728e+00	 7.6940e-01
 7.1969e+01	 1.2000e+02	 3.9864e+00	 1.0634e+00
 5.1795e+01	 1.2000e+02	 4.0097e+00	 1.4682e+00
 3.7276e+01	 1.2000e+02	 4.0488e+00	 2.0212e+00
 2.6827e+01	 1.2000e+02	 4.1109e+00	 2.7746e+00
 1.9307e+01	 1.2000e+02	 4.2000e+00	 3.7926e+00
 1.3895e+01	 1.2000e+02	 4.3305e+00	 5.1746e+00
 1.0000e+01	 1.2000e+02	 4.4906e+00	 7.0418e+00
 7.1969e+00	 1.2000e+02	 4.6852e+00	 9.5761e+00
 5.1795e+00	 1.2000e+02	 4.8915e+00	 1.3035e+01
 3.7276e+00	 1.2000e+02	 5.0969e+00	 1.7783e+01
 2.6827e+00	 1.2000e+02	 5.2798e+00	 2.4303e+01
 1.9307e+00	 1.2000e+02	 5.4490e+00	 3.3426e+01
 1.3895e+00	 1.2000e+02	 5.5901e+00	 4.6087e+01
 1.0000e+00	 1.2000e+02	 5.7112e+00	 6.3611e+01
 7.1969e-01	 1.2000e+02	 5.8438e+00	 8.8041e+01
