pmma-05212015, 21.5.2015, 16:46
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.9307e+02	 1.6000e+02	 3.2672e+00	 5.4879e+00
 1.3895e+02	 1.6000e+02	 3.3160e+00	 7.6104e+00
 1.0000e+02	 1.6000e+02	 3.4038e+00	 1.0556e+01
 7.1969e+01	 1.6000e+02	 3.5549e+00	 1.4632e+01
 5.1795e+01	 1.6000e+02	 3.8313e+00	 2.0270e+01
 3.7276e+01	 1.6000e+02	 4.3157e+00	 2.7988e+01
 2.6827e+01	 1.6000e+02	 5.1966e+00	 3.8673e+01
 1.9307e+01	 1.6000e+02	 6.7299e+00	 5.3229e+01
 1.3895e+01	 1.6000e+02	 9.3947e+00	 7.3128e+01
 1.0000e+01	 1.6000e+02	 1.3993e+01	 9.9949e+01
 7.1969e+00	 1.6000e+02	 2.1441e+01	 1.3607e+02
 5.1795e+00	 1.6000e+02	 3.3829e+01	 1.8291e+02
 3.7276e+00	 1.6000e+02	 5.2975e+01	 2.4402e+02
 2.6827e+00	 1.6000e+02	 8.1388e+01	 3.2120e+02
 1.9307e+00	 1.6000e+02	 1.2103e+02	 4.1681e+02
 1.3895e+00	 1.6000e+02	 1.7346e+02	 5.3475e+02
 1.0000e+00	 1.6000e+02	 2.3773e+02	 6.8064e+02
 7.1969e-01	 1.6000e+02	 3.1239e+02	 8.6404e+02
 5.1795e-01	 1.6000e+02	 3.9547e+02	 1.0994e+03
 3.7276e-01	 1.6000e+02	 4.8453e+02	 1.4096e+03
 2.6827e-01	 1.6000e+02	 5.7854e+02	 1.8252e+03
 1.9307e-01	 1.6000e+02	 6.7934e+02	 2.3920e+03
 1.3895e-01	 1.6000e+02	 7.8537e+02	 3.1613e+03
 1.0000e-01	 1.6000e+02	 9.0088e+02	 4.2102e+03
 7.1969e-02	 1.6000e+02	 1.0299e+03	 5.6379e+03
 5.1795e-02	 1.6000e+02	 1.1789e+03	 7.5719e+03
 3.7276e-02	 1.6000e+02	 1.3573e+03	 1.0165e+04
 2.6827e-02	 1.6000e+02	 1.5786e+03	 1.3663e+04
 1.0000e+07	 1.5500e+02	 2.2485e+00	 1.8042e-01
 7.1969e+06	 1.5500e+02	 2.2977e+00	 2.7131e-01
 5.1795e+06	 1.5500e+02	 2.3440e+00	 2.9928e-01
 3.7276e+06	 1.5500e+02	 2.4125e+00	 3.1883e-01
 2.6827e+06	 1.5500e+02	 2.4836e+00	 3.4080e-01
 1.9307e+06	 1.5500e+02	 2.5653e+00	 3.5469e-01
 1.3895e+06	 1.5500e+02	 2.6547e+00	 3.5583e-01
 1.0000e+06	 1.5500e+02	 2.7388e+00	 3.4958e-01
 7.1969e+05	 1.5500e+02	 2.8223e+00	 3.4083e-01
 5.1795e+05	 1.5500e+02	 2.8997e+00	 3.1402e-01
 3.7276e+05	 1.5500e+02	 2.9678e+00	 2.8180e-01
 2.6827e+05	 1.5500e+02	 3.0248e+00	 2.4705e-01
 1.9307e+05	 1.5500e+02	 3.0712e+00	 2.1253e-01
 1.3895e+05	 1.5500e+02	 3.1079e+00	 1.8072e-01
 1.0000e+05	 1.5500e+02	 3.1366e+00	 1.5295e-01
 7.1969e+04	 1.5500e+02	 3.1589e+00	 1.2988e-01
 5.1795e+04	 1.5500e+02	 3.1761e+00	 1.1206e-01
 3.7276e+04	 1.5500e+02	 3.1895e+00	 9.9343e-02
 2.6827e+04	 1.5500e+02	 3.2002e+00	 9.1999e-02
 1.9307e+04	 1.5500e+02	 3.2088e+00	 9.0304e-02
 1.3895e+04	 1.5500e+02	 3.2159e+00	 9.4943e-02
 1.0000e+04	 1.5500e+02	 3.2218e+00	 1.0695e-01
 7.1969e+03	 1.5500e+02	 3.2272e+00	 1.2801e-01
 5.1795e+03	 1.5500e+02	 3.2320e+00	 1.6067e-01
 3.7276e+03	 1.5500e+02	 3.2368e+00	 2.0835e-01
 2.6827e+03	 1.5500e+02	 3.2415e+00	 2.7660e-01
 1.9307e+03	 1.5500e+02	 3.2465e+00	 3.7251e-01
 1.3895e+03	 1.5500e+02	 3.2514e+00	 5.0667e-01
 1.0000e+03	 1.5500e+02	 3.2566e+00	 6.9374e-01
 7.1969e+02	 1.5500e+02	 3.2622e+00	 9.5412e-01
 5.1795e+02	 1.5500e+02	 3.2683e+00	 1.3164e+00
 3.7276e+02	 1.5500e+02	 3.2762e+00	 1.8183e+00
 2.6827e+02	 1.5500e+02	 3.2869e+00	 2.5159e+00
 1.9307e+02	 1.5500e+02	 3.3026e+00	 3.4836e+00
 1.3895e+02	 1.5500e+02	 3.3253e+00	 4.8237e+00
 1.0000e+02	 1.5500e+02	 3.3698e+00	 6.6935e+00
 7.1969e+01	 1.5500e+02	 3.4409e+00	 9.2803e+00
 5.1795e+01	 1.5500e+02	 3.5643e+00	 1.2847e+01
 3.7276e+01	 1.5500e+02	 3.7933e+00	 1.7793e+01
 2.6827e+01	 1.5500e+02	 4.1968e+00	 2.4588e+01
 1.9307e+01	 1.5500e+02	 4.9296e+00	 3.4008e+01
 1.3895e+01	 1.5500e+02	 6.1997e+00	 4.6925e+01
 1.0000e+01	 1.5500e+02	 8.4508e+00	 6.4424e+01
 7.1969e+00	 1.5500e+02	 1.2483e+01	 8.8287e+01
 5.1795e+00	 1.5500e+02	 1.8900e+01	 1.2027e+02
 3.7276e+00	 1.5500e+02	 2.9707e+01	 1.6256e+02
 2.6827e+00	 1.5500e+02	 4.6103e+01	 2.1539e+02
 1.9307e+00	 1.5500e+02	 7.3072e+01	 2.8624e+02
 1.3895e+00	 1.5500e+02	 1.1083e+02	 3.7240e+02
 1.0000e+00	 1.5500e+02	 1.6220e+02	 4.7720e+02
 7.1969e-01	 1.5500e+02	 2.2737e+02	 6.0485e+02
 5.1795e-01	 1.5500e+02	 3.0458e+02	 7.6000e+02
 3.7276e-01	 1.5500e+02	 3.9263e+02	 9.5474e+02
 2.6827e-01	 1.5500e+02	 4.8788e+02	 1.2054e+03
 1.9307e-01	 1.5500e+02	 5.8910e+02	 1.5354e+03
 1.3895e-01	 1.5500e+02	 6.9564e+02	 1.9781e+03
 1.0000e-01	 1.5500e+02	 8.0760e+02	 2.5755e+03
 7.1969e-02	 1.5500e+02	 9.2652e+02	 3.3921e+03
 5.1795e-02	 1.5500e+02	 1.0562e+03	 4.5067e+03
 3.7276e-02	 1.5500e+02	 1.2020e+03	 6.0235e+03
 2.6827e-02	 1.5500e+02	 1.3706e+03	 8.0815e+03
 1.0000e+07	 1.5000e+02	 2.2167e+00	 1.5453e-01
 7.1969e+06	 1.5000e+02	 2.2576e+00	 2.4470e-01
 5.1795e+06	 1.5000e+02	 2.2967e+00	 2.7425e-01
 3.7276e+06	 1.5000e+02	 2.3575e+00	 2.9688e-01
 2.6827e+06	 1.5000e+02	 2.4213e+00	 3.2451e-01
 1.9307e+06	 1.5000e+02	 2.4974e+00	 3.4661e-01
 1.3895e+06	 1.5000e+02	 2.5837e+00	 3.5841e-01
 1.0000e+06	 1.5000e+02	 2.6688e+00	 3.6433e-01
 7.1969e+05	 1.5000e+02	 2.7576e+00	 3.6772e-01
 5.1795e+05	 1.5000e+02	 2.8444e+00	 3.5208e-01
 3.7276e+05	 1.5000e+02	 2.9254e+00	 3.2850e-01
 2.6827e+05	 1.5000e+02	 2.9977e+00	 2.9879e-01
 1.9307e+05	 1.5000e+02	 3.0599e+00	 2.6578e-01
 1.3895e+05	 1.5000e+02	 3.1117e+00	 2.3231e-01
 1.0000e+05	 1.5000e+02	 3.1539e+00	 2.0041e-01
 7.1969e+04	 1.5000e+02	 3.1878e+00	 1.7162e-01
 5.1795e+04	 1.5000e+02	 3.2146e+00	 1.4695e-01
 3.7276e+04	 1.5000e+02	 3.2359e+00	 1.2691e-01
 2.6827e+04	 1.5000e+02	 3.2528e+00	 1.1177e-01
 1.9307e+04	 1.5000e+02	 3.2663e+00	 1.0174e-01
 1.3895e+04	 1.5000e+02	 3.2773e+00	 9.7129e-02
 1.0000e+04	 1.5000e+02	 3.2862e+00	 9.8486e-02
 7.1969e+03	 1.5000e+02	 3.2938e+00	 1.0677e-01
 5.1795e+03	 1.5000e+02	 3.3004e+00	 1.2337e-01
 3.7276e+03	 1.5000e+02	 3.3062e+00	 1.5052e-01
 2.6827e+03	 1.5000e+02	 3.3117e+00	 1.9128e-01
 1.9307e+03	 1.5000e+02	 3.3170e+00	 2.5027e-01
 1.3895e+03	 1.5000e+02	 3.3223e+00	 3.3385e-01
 1.0000e+03	 1.5000e+02	 3.3276e+00	 4.5118e-01
 7.1969e+02	 1.5000e+02	 3.3331e+00	 6.1508e-01
 5.1795e+02	 1.5000e+02	 3.3388e+00	 8.4354e-01
