Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
0.383895 -0.414285 -0.913597 0.172725 1.42616
0.392466 -0.405714 -0.912068 0.183605 1.11248
0.401038 -0.397142 -0.910457 0.191796 0.798797
0.409609 -0.388571 -0.908788 0.197298 0.485114
0.41818 -0.379999 -0.907082 0.200112 0.171432
0.426752 -0.371428 -0.905365 0.200237 -0.14225
0.435323 -0.362857 -0.903657 0.197673 -0.455933
0.443895 -0.354285 -0.901984 0.192421 -0.769615
0.452466 -0.345714 -0.900366 0.18448 -1.0833
0.461038 -0.337142 -0.898829 0.17385 -1.39698
0.469609 -0.328571 -0.897394 0.160532 -1.71066
0.47818 -0.319999 -0.896085 0.144525 -2.02434
0.486752 -0.311428 -0.894924 0.125829 -2.33803
0.495323 -0.302857 -0.893935 0.104444 -2.65171
0.503895 -0.294285 -0.893141 0.0803708 -2.96539
0.512466 -0.285714 -0.892565 0.0536088 -3.27907
0.521038 -0.277142 -0.892222 0.0268237 -2.97066
0.529609 -0.268571 -0.892098 0.0026832 -2.66212
0.53818 -0.259999 -0.892169 -0.0188126 -2.35358
0.546752 -0.251428 -0.892413 -0.0376638 -2.04503
0.555323 -0.242857 -0.892807 -0.0538704 -1.73649
0.563895 -0.234285 -0.893329 -0.0674322 -1.42795
0.572466 -0.225714 -0.893955 -0.0783495 -1.1194
0.581038 -0.217142 -0.894664 -0.086622 -0.810862
0.589609 -0.208571 -0.895433 -0.0922499 -0.502319
0.59818 -0.199999 -0.896238 -0.0952332 -0.193776
0.606752 -0.191428 -0.897058 -0.0955718 0.114767
0.615323 -0.182857 -0.897869 -0.0932658 0.42331
0.623895 -0.174285 -0.898649 -0.0883151 0.731853
0.632466 -0.165714 -0.899375 -0.0807197 1.0404
0.641038 -0.157142 -0.900025 -0.0704797 1.34894
0.649609 -0.148571 -0.900576 -0.057595 1.65748
0.65818 -0.139999 -0.901005 -0.0422691 1.82355
0.666752 -0.131428 -0.901302 -0.0271498 1.70428
0.675323 -0.122857 -0.901473 -0.0130529 1.585
0.683895 -0.114285 -0.901529 2.17003e-05 1.46573
0.692466 -0.105714 -0.901476 0.0120739 1.34645
0.701038 -0.0971423 -0.901325 0.0231038 1.22718
