total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=13)
[[1.941039],[2.083893],[2.226752],[2.369609],[2.512468],[2.655326],[2.798180],[2.941039],[3.083893],[3.226752],[3.369609],[3.512468],[3.655326]]

yData (#.=13)
[-0.853321,-0.853927,-0.860231,-0.870441,-0.882809,-0.898278,-0.916131,-0.934943,-0.957418,-0.980903,-1.009853,-1.036981,-1.063294]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 53
-0.576105 -1.37429 -1.31409 -0.242286 0.327696
-0.567534 -1.36571 -1.31614 -0.236962 0.914635
-0.558962 -1.35714 -1.31813 -0.226607 1.50157
-0.550391 -1.34857 -1.32001 -0.211221 2.08851
-0.541819 -1.34 -1.32174 -0.190804 2.67545
-0.533248 -1.33143 -1.32327 -0.165356 3.26239
-0.524677 -1.32286 -1.32456 -0.134877 3.84933
-0.516105 -1.31429 -1.32557 -0.0993672 4.43627
-0.507534 -1.30571 -1.32625 -0.0588266 5.02321
-0.498962 -1.29714 -1.32656 -0.013255 5.61015
-0.490391 -1.28857 -1.32646 0.0373474 6.19709
-0.481819 -1.28 -1.32591 0.0909062 6.05768
-0.473248 -1.27143 -1.32492 0.140674 5.55477
-0.464677 -1.26286 -1.32351 0.186131 5.05186
-0.456105 -1.25429 -1.32174 0.227277 4.54894
-0.447534 -1.24571 -1.31963 0.264113 4.04603
-0.438962 -1.23714 -1.31722 0.296638 3.54311
-0.430391 -1.22857 -1.31456 0.324852 3.0402
-0.421819 -1.22 -1.31167 0.348755 2.53729
-0.413248 -1.21143 -1.30859 0.368348 2.03437
-0.404677 -1.20286 -1.30536 0.38363 1.53146
-0.396105 -1.19429 -1.30202 0.394602 1.02854
-0.387534 -1.18571 -1.29861 0.401262 0.52563
-0.378962 -1.17714 -1.29516 0.403612 0.022716
-0.370391 -1.16857 -1.2917 0.401652 -0.480198
-0.361819 -1.16 -1.28829 0.395381 -0.983112
-0.353248 -1.15143 -1.28494 0.384798 -1.48603
-0.344677 -1.14286 -1.2817 0.369906 -1.98894
-0.336105 -1.13429 -1.27861 0.351826 -2.22948
-0.327534 -1.12571 -1.27568 0.331686 -2.46995
-0.318962 -1.11714 -1.27293 0.309485 -2.71041
-0.310391 -1.10857 -1.27038 0.285222 -2.95087
-0.30182 -1.1 -1.26804 0.258898 -3.19133
-0.293248 -1.09143 -1.26594 0.230513 -3.4318
-0.284677 -1.08286 -1.2641 0.200067 -3.67226
-0.276105 -1.07429 -1.26252 0.16756 -3.91272
-0.267534 -1.06571 -1.26123 0.132992 -4.15319
-0.258962 -1.05714 -1.26025 0.0963628 -4.39365
-0.250391 -1.04857 -1.25958 0.0576724 -4.63411
-0.24182 -1.04 -1.25926 0.0169209 -4.87457
-0.233248 -1.03143 -1.2593 -0.0258917 -5.11504
