Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
0.0667519 -0.731428 -0.953114 0.0708946 0.501481
0.0753233 -0.722857 -0.952487 0.0755689 0.589177
0.0838948 -0.714285 -0.951817 0.0809948 0.676823
0.0924662 -0.705714 -0.9511 0.0861277 0.520864
0.101038 -0.697142 -0.950344 0.0899239 0.364906
0.109609 -0.688571 -0.949562 0.0923833 0.208947
0.11818 -0.679999 -0.948764 0.0935059 0.0529889
0.126752 -0.671428 -0.947963 0.0932917 -0.10297
0.135323 -0.662857 -0.947169 0.0917407 -0.258928
0.143895 -0.654285 -0.946394 0.0888529 -0.414887
0.152466 -0.645714 -0.945649 0.0846283 -0.570845
0.161038 -0.637142 -0.944947 0.079067 -0.726804
0.169609 -0.628571 -0.944298 0.0721688 -0.882762
0.17818 -0.619999 -0.943714 0.0639339 -1.03872
0.186752 -0.611428 -0.943206 0.0543622 -1.19468
0.195323 -0.602857 -0.942785 0.0434537 -1.35064
0.203895 -0.594285 -0.942465 0.0312084 -1.5066
0.212466 -0.585714 -0.942254 0.0176263 -1.66255
0.221038 -0.577142 -0.942166 0.00270748 -1.81851
0.229609 -0.568571 -0.942212 -0.0133324 -1.82342
0.23818 -0.559999 -0.942389 -0.0276878 -1.52619
0.246752 -0.551428 -0.942679 -0.0394957 -1.22897
0.255323 -0.542857 -0.943059 -0.0487559 -0.931745
0.263895 -0.534285 -0.943507 -0.0554685 -0.634522
0.272466 -0.525714 -0.944003 -0.0596334 -0.337298
0.281038 -0.517142 -0.944522 -0.0612507 -0.0400746
0.289609 -0.508571 -0.945045 -0.0603204 0.257149
0.29818 -0.499999 -0.945549 -0.0568424 0.554372
0.306752 -0.491428 -0.946012 -0.0508169 0.851596
0.315323 -0.482857 -0.946413 -0.0422437 1.14882
0.323895 -0.474285 -0.946729 -0.0311228 1.44604
0.332466 -0.465714 -0.946939 -0.0174543 1.74327
0.341038 -0.457142 -0.947021 -0.00123825 2.04049
0.349609 -0.448571 -0.946953 0.0175255 2.33771
0.35818 -0.439999 -0.946714 0.0388368 2.63494
0.366752 -0.431428 -0.94628 0.0626958 2.93216
0.375323 -0.422857 -0.945634 0.0877179 2.74481
0.383895 -0.414285 -0.944787 0.109404 2.31518
0.392466 -0.405714 -0.943769 0.127407 1.88555
0.401038 -0.397142 -0.942613 0.141727 1.45592
0.409609 -0.388571 -0.94135 0.152365 1.02629
0.41818 -0.379999 -0.940012 0.159321 0.596657
0.426752 -0.371428 -0.938629 0.162594 0.167026
0.435323 -0.362857 -0.937235 0.162184 -0.262605
0.443895 -0.354285 -0.93586 0.158092 -0.692236
0.452466 -0.345714 -0.934535 0.150317 -1.12187
0.461038 -0.337142 -0.933293 0.13886 -1.5515
0.469609 -0.328571 -0.932165 0.12372 -1.98113
0.47818 -0.319999 -0.931183 0.104898 -2.41076
0.486752 -0.311428 -0.930378 0.0823928 -2.84039
0.495323 -0.302857 -0.929781 0.0562054 -3.27002
0.503895 -0.294285 -0.929425 0.0263353 -3.69965
0.512466 -0.285714 -0.92934 -0.00721725 -4.12928
0.521038 -0.277142 -0.929549 -0.0408689 -3.72258
0.529609 -0.268571 -0.930031 -0.0710329 -3.3157
0.53818 -0.259999 -0.930756 -0.0977095 -2.90882
0.546752 -0.251428 -0.931696 -0.120898 -2.50195
0.555323 -0.242857 -0.932819 -0.1406 -2.09507
0.563895 -0.234285 -0.934096 -0.156814 -1.68819
0.572466 -0.225714 -0.935497 -0.16954 -1.28131
0.581038 -0.217142 -0.936992 -0.178779 -0.874433
0.589609 -0.208571 -0.938552 -0.184531 -0.467554
0.59818 -0.199999 -0.940146 -0.186794 -0.060676
0.606752 -0.191428 -0.941744 -0.185571 0.346202
0.615323 -0.182857 -0.943317 -0.18086 0.753081
0.623895 -0.174285 -0.944835 -0.172661 1.15996
0.632466 -0.165714 -0.946267 -0.160975 1.56684
0.641038 -0.157142 -0.947584 -0.145801 1.97372
0.649609 -0.148571 -0.948757 -0.127139 2.38059
0.65818 -0.139999 -0.949754 -0.105241 2.61227
0.666752 -0.131428 -0.950562 -0.0833607 2.49304
0.675323 -0.122857 -0.951186 -0.0625028 2.37382
0.683895 -0.114285 -0.951636 -0.0426667 2.25459
0.692466 -0.105714 -0.95192 -0.0238527 2.13536
0.701038 -0.0971423 -0.952048 -0.00606051 2.01614
0.709609 -0.0885709 -0.952027 0.0107097 1.89691
0.71818 -0.0799994 -0.951867 0.026458 1.77768
0.726752 -0.071428 -0.951577 0.0411843 1.65846
0.735323 -0.0628566 -0.951164 0.0548887 1.53923
0.743895 -0.0542852 -0.950639 0.0675711 1.42001
0.752466 -0.0457137 -0.950009 0.0792316 1.30078
0.761038 -0.0371423 -0.949283 0.0898702 1.18155
0.769609 -0.0285709 -0.948471 0.0994868 1.06233
0.77818 -0.0199994 -0.947581 0.108082 0.943101
0.786752 -0.011428 -0.946621 0.115654 0.823874
0.795323 -0.00285659 -0.945601 0.122205 0.704648
0.803895 0.00571484 -0.94453 0.127442 0.483112
0.812466 0.0142863 -0.943423 0.130414 0.210434
0.821038 0.0228577 -0.942301 0.131049 -0.0622442
0.829609 0.0314291 -0.941183 0.129347 -0.334922
0.83818 0.0400006 -0.94009 0.125308 -0.607601
0.846752 0.048572 -0.939041 0.118931 -0.880279
0.855323 0.0571434 -0.938058 0.110217 -1.15296
0.863895 0.0657148 -0.937159 0.0991659 -1.42564
0.872466 0.0742863 -0.936364 0.0857776 -1.69831
0.881038 0.0828577 -0.935695 0.070052 -1.97099
0.889609 0.0914291 -0.93517 0.0519891 -2.24367
0.89818 0.100001 -0.93481 0.0315891 -2.51635
0.906752 0.108572 -0.934635 0.00885175 -2.78903
0.915323 0.117143 -0.934665 -0.0162228 -3.0617
0.923895 0.125715 -0.93492 -0.0436346 -3.33438
0.932466 0.134286 -0.93542 -0.0733836 -3.60706
0.941038 0.142858 -0.936185 -0.10547 -3.87974
0.949609 0.151429 -0.937226 -0.136881 -3.44937
0.95818 0.160001 -0.938521 -0.164602 -3.01888
0.966752 0.168572 -0.940037 -0.188633 -2.58839
0.975323 0.177143 -0.941744 -0.208974 -2.1579
0.983895 0.185715 -0.943609 -0.225626 -1.72741
0.992466 0.194286 -0.945601 -0.238587 -1.29693
1.00104 0.202858 -0.947689 -0.247859 -0.866439
1.00961 0.211429 -0.94984 -0.25344 -0.435951
1.01818 0.220001 -0.952023 -0.255332 -0.005463
1.02675 0.228572 -0.954206 -0.253534 0.425025
1.03532 0.237143 -0.956359 -0.248046 0.855513
1.04389 0.245715 -0.958448 -0.238868 1.286
1.05247 0.254286 -0.960443 -0.226 1.71649
1.06104 0.262858 -0.962312 -0.209443 2.14698
1.06961 0.271429 -0.964023 -0.189195 2.57746
1.07818 0.280001 -0.965545 -0.165257 3.00795
1.08675 0.288572 -0.966846 -0.137985 3.18983
1.09532 0.297143 -0.967915 -0.111994 2.87493
1.10389 0.305715 -0.968773 -0.088701 2.56003
1.11247 0.314286 -0.969443 -0.0681075 2.24513
1.12104 0.322858 -0.969949 -0.0502131 1.93023
1.12961 0.331429 -0.970312 -0.0350179 1.61533
1.13818 0.340001 -0.970557 -0.0225218 1.30043
1.14675 0.348572 -0.970706 -0.0127249 0.985526
1.15532 0.357143 -0.970782 -0.00562708 0.670626
1.16389 0.365715 -0.97081 -0.00122843 0.355726
1.17247 0.374286 -0.970811 0.000471079 0.0408258
1.18104 0.382858 -0.970809 -0.000528557 -0.274074
1.18961 0.391429 -0.970828 -0.00422734 -0.588974
1.19818 0.400001 -0.97089 -0.0106253 -0.903874
1.20675 0.408572 -0.971018 -0.0197223 -1.21877
1.21532 0.417143 -0.971235 -0.0315185 -1.53367
1.22389 0.425715 -0.971566 -0.0460139 -1.84857
1.23247 0.434286 -0.97203 -0.0622769 -1.83744
1.24104 0.442858 -0.972629 -0.0772799 -1.66327
1.24961 0.451429 -0.973351 -0.09079 -1.4891
1.25818 0.460001 -0.974182 -0.102807 -1.31493
1.26675 0.468572 -0.975109 -0.113332 -1.14076
1.27532 0.477143 -0.97612 -0.122363 -0.966592
1.28389 0.485715 -0.977202 -0.129902 -0.792423
1.29247 0.494286 -0.978343 -0.135948 -0.618254
1.30104 0.502858 -0.979529 -0.1405 -0.444085
1.30961 0.511429 -0.980747 -0.14356 -0.269916
1.31818 0.520001 -0.981985 -0.145128 -0.0957475
1.32675 0.528572 -0.983231 -0.145202 0.0784213
1.33532 0.537143 -0.98447 -0.143783 0.25259
1.34389 0.545715 -0.985691 -0.140872 0.426759
1.35247 0.554286 -0.986881 -0.136467 0.600928
1.36104 0.562858 -0.988026 -0.13057 0.775097
1.36961 0.571429 -0.989115 -0.12318 0.949265
1.37818 0.580001 -0.990137 -0.115556 0.829666
1.38675 0.588572 -0.991099 -0.108957 0.710067
1.39532 0.597143 -0.992008 -0.103383 0.590468
1.40389 0.605715 -0.992874 -0.0988348 0.470869
1.41247 0.614286 -0.993705 -0.0953114 0.35127
1.42104 0.622858 -0.994511 -0.0928131 0.23167
1.42961 0.631429 -0.995299 -0.0913399 0.112071
1.43818 0.640001 -0.99608 -0.0908919 -0.0075279
1.44675 0.648572 -0.996861 -0.0914689 -0.127127
1.45532 0.657143 -0.997651 -0.0930712 -0.246726
1.46389 0.665715 -0.998459 -0.0956985 -0.366325
1.47247 0.674286 -0.999294 -0.099351 -0.485925
1.48104 0.682858 -1.00017 -0.104029 -0.605524
1.48961 0.691429 -1.00108 -0.109731 -0.725123
1.49818 0.700001 -1.00205 -0.116459 -0.844722
1.50675 0.708572 -1.00308 -0.124212 -0.964321
1.51532 0.717143 -1.00418 -0.13288 -1.00677
1.52389 0.725715 -1.00536 -0.14103 -0.89476
1.53247 0.734286 -1.0066 -0.148219 -0.782753
1.54104 0.742858 -1.00789 -0.154448 -0.670745
1.54961 0.751429 -1.00924 -0.159718 -0.558737
1.55818 0.76 -1.01063 -0.164027 -0.446729
1.56675 0.768572 -1.01205 -0.167376 -0.334721
1.57532 0.777143 -1.0135 -0.169765 -0.222713
1.58389 0.785715 -1.01496 -0.171194 -0.110705
1.59247 0.794286 -1.01643 -0.171663 0.00130236
1.60104 0.802858 -1.0179 -0.171171 0.11331
1.60961 0.811429 -1.01936 -0.16972 0.225318
1.61818 0.82 -1.0208 -0.167309 0.337326
1.62675 0.828572 -1.02222 -0.163937 0.449334
1.63532 0.837143 -1.02361 -0.159606 0.561342
1.64389 0.845715 -1.02496 -0.154314 0.673349
1.65247 0.854286 -1.02625 -0.148063 0.785357
1.66104 0.862858 -1.02749 -0.141194 0.777402
1.66961 0.871429 -1.02868 -0.134822 0.709378
1.67818 0.88 -1.02981 -0.129033 0.641355
1.68675 0.888572 -1.03089 -0.123827 0.573332
1.69532 0.897143 -1.03193 -0.119204 0.505309
1.70389 0.905715 -1.03294 -0.115165 0.437286
1.71247 0.914286 -1.03391 -0.111708 0.369263
1.72104 0.922858 -1.03485 -0.108835 0.30124
1.72961 0.931429 -1.03578 -0.106544 0.233217
1.73818 0.94 -1.03668 -0.104837 0.165194
1.74675 0.948572 -1.03757 -0.103712 0.0971705
1.75532 0.957143 -1.03846 -0.103171 0.0291474
1.76389 0.965715 -1.03934 -0.103212 -0.0388757
1.77247 0.974286 -1.04023 -0.103837 -0.106899
