Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
0.581038 -0.217142 2.55742 -0.199423 -0.327289
0.589609 -0.208571 2.5557 -0.20203 -0.280953
0.59818 -0.199999 2.55396 -0.204239 -0.234616
0.606752 -0.191428 2.5522 -0.206052 -0.188279
0.615323 -0.182857 2.55043 -0.207467 -0.141942
0.623895 -0.174285 2.54865 -0.208485 -0.0956053
0.632466 -0.165714 2.54686 -0.209106 -0.0492684
0.641038 -0.157142 2.54506 -0.20933 -0.0029316
0.649609 -0.148571 2.54327 -0.209156 0.0434052
0.65818 -0.139999 2.54148 -0.20863 0.0588042
0.666752 -0.131428 2.53969 -0.208325 0.0122402
0.675323 -0.122857 2.53791 -0.20842 -0.0343239
0.683895 -0.114285 2.53612 -0.208914 -0.0808879
0.692466 -0.105714 2.53433 -0.209807 -0.127452
0.701038 -0.0971423 2.53252 -0.211099 -0.174016
0.709609 -0.0885709 2.53071 -0.21279 -0.22058
0.71818 -0.0799994 2.52887 -0.21488 -0.267144
0.726752 -0.071428 2.52702 -0.217369 -0.313708
0.735323 -0.0628566 2.52515 -0.220258 -0.360272
0.743895 -0.0542852 2.52324 -0.223545 -0.406836
0.752466 -0.0457137 2.52131 -0.227232 -0.4534
0.761038 -0.0371423 2.51935 -0.231318 -0.499964
0.769609 -0.0285709 2.51735 -0.235803 -0.546528
0.77818 -0.0199994 2.5153 -0.240687 -0.593092
0.786752 -0.011428 2.51322 -0.24597 -0.639656
0.795323 -0.00285659 2.51109 -0.251653 -0.68622
0.803895 0.00571484 2.5089 -0.257676 -0.712525
0.812466 0.0142863 2.50667 -0.263853 -0.728703
0.821038 0.0228577 2.50438 -0.270168 -0.744882
0.829609 0.0314291 2.50204 -0.276622 -0.76106
0.83818 0.0400006 2.49964 -0.283215 -0.777238
0.846752 0.048572 2.49718 -0.289946 -0.793416
0.855323 0.0571434 2.49467 -0.296816 -0.809595
0.863895 0.0657148 2.49209 -0.303825 -0.825773
0.872466 0.0742863 2.48946 -0.310972 -0.841951
0.881038 0.0828577 2.48676 -0.318258 -0.858129
0.889609 0.0914291 2.484 -0.325683 -0.874308
0.89818 0.100001 2.48118 -0.333247 -0.890486
0.906752 0.108572 2.47829 -0.340949 -0.906664
0.915323 0.117143 2.47533 -0.348789 -0.922842
0.923895 0.125715 2.47231 -0.356769 -0.939021
0.932466 0.134286 2.46922 -0.364887 -0.955199
0.941038 0.142858 2.46605 -0.373144 -0.971377
0.949609 0.151429 2.46282 -0.381546 -0.989214
0.95818 0.160001 2.45951 -0.390102 -1.00705
0.966752 0.168572 2.45613 -0.39881 -1.02489
0.975323 0.177143 2.45267 -0.407671 -1.04273
0.983895 0.185715 2.44914 -0.416685 -1.06057
0.992466 0.194286 2.44553 -0.425852 -1.0784
1.00104 0.202858 2.44184 -0.435172 -1.09624
1.00961 0.211429 2.43807 -0.444645 -1.11408
1.01818 0.220001 2.43422 -0.454271 -1.13192
1.02675 0.228572 2.43028 -0.464049 -1.14975
1.03532 0.237143 2.42626 -0.473981 -1.16759
1.04389 0.245715 2.42216 -0.484065 -1.18543
1.05247 0.254286 2.41796 -0.494302 -1.20327
1.06104 0.262858 2.41368 -0.504693 -1.2211
1.06961 0.271429 2.40931 -0.515236 -1.23894
1.07818 0.280001 2.40485 -0.525932 -1.25678
1.08675 0.288572 2.40029 -0.53676 -1.26073
1.09532 0.297143 2.39565 -0.547465 -1.23692
1.10389 0.305715 2.39091 -0.557965 -1.21312
1.11247 0.314286 2.38608 -0.568261 -1.18932
1.12104 0.322858 2.38117 -0.578353 -1.16551
1.12961 0.331429 2.37617 -0.588241 -1.14171
1.13818 0.340001 2.37109 -0.597925 -1.11791
1.14675 0.348572 2.36592 -0.607405 -1.0941
1.15532 0.357143 2.36067 -0.616681 -1.0703
1.16389 0.365715 2.35535 -0.625753 -1.04649
1.17247 0.374286 2.34995 -0.634621 -1.02269
1.18104 0.382858 2.34447 -0.643285 -0.998888
1.18961 0.391429 2.33892 -0.651745 -0.975084
1.19818 0.400001 2.3333 -0.660001 -0.95128
1.20675 0.408572 2.32761 -0.668053 -0.927476
1.21532 0.417143 2.32185 -0.675901 -0.903673
1.22389 0.425715 2.31602 -0.683544 -0.879869
1.23247 0.434286 2.31013 -0.691207 -0.934121
1.24104 0.442858 2.30417 -0.699614 -1.0274
1.24961 0.451429 2.29813 -0.70882 -1.12069
1.25818 0.460001 2.29201 -0.718825 -1.21397
1.26675 0.468572 2.28581 -0.729631 -1.30725
1.27532 0.477143 2.2795 -0.741235 -1.40053
1.28389 0.485715 2.2731 -0.75364 -1.49382
1.29247 0.494286 2.26658 -0.766844 -1.5871
1.30104 0.502858 2.25995 -0.780847 -1.68038
1.30961 0.511429 2.25319 -0.79565 -1.77366
1.31818 0.520001 2.24631 -0.811253 -1.86695
1.32675 0.528572 2.23928 -0.827655 -1.96023
1.33532 0.537143 2.23212 -0.844857 -2.05351
1.34389 0.545715 2.2248 -0.862858 -2.1468
1.35247 0.554286 2.21732 -0.881659 -2.24008
1.36104 0.562858 2.20968 -0.901259 -2.33336
1.36961 0.571429 2.20187 -0.921659 -2.42664
1.37818 0.580001 2.19388 -0.941967 -2.31189
1.38675 0.588572 2.18573 -0.961292 -2.19713
1.39532 0.597143 2.17741 -0.979633 -2.08238
1.40389 0.605715 2.16893 -0.99699 -1.96762
1.41247 0.614286 2.16032 -1.01336 -1.85287
1.42104 0.622858 2.15157 -1.02875 -1.73811
1.42961 0.631429 2.14269 -1.04316 -1.62336
1.43818 0.640001 2.13369 -1.05658 -1.5086
1.44675 0.648572 2.12458 -1.06902 -1.39385
1.45532 0.657143 2.11536 -1.08048 -1.27909
1.46389 0.665715 2.10606 -1.09095 -1.16434
1.47247 0.674286 2.09666 -1.10044 -1.04958
1.48104 0.682858 2.08719 -1.10894 -0.934825
1.48961 0.691429 2.07766 -1.11646 -0.82007
1.49818 0.700001 2.06806 -1.123 -0.705315
1.50675 0.708572 2.05841 -1.12855 -0.590559
1.51532 0.717143 2.04871 -1.13317 -0.509776
1.52389 0.725715 2.03898 -1.13749 -0.497002
1.53247 0.734286 2.02921 -1.14169 -0.484228
1.54104 0.742858 2.01941 -1.14579 -0.471455
1.54961 0.751429 2.00957 -1.14977 -0.458681
1.55818 0.76 1.9997 -1.15365 -0.445907
1.56675 0.768572 1.9898 -1.15742 -0.433133
1.57532 0.777143 1.97986 -1.16108 -0.420359
1.58389 0.785715 1.96989 -1.16462 -0.407586
1.59247 0.794286 1.95989 -1.16806 -0.394812
1.60104 0.802858 1.94987 -1.17139 -0.382038
1.60961 0.811429 1.93981 -1.17461 -0.369264
1.61818 0.82 1.92973 -1.17772 -0.35649
1.62675 0.828572 1.91962 -1.18072 -0.343717
1.63532 0.837143 1.90949 -1.18362 -0.330943
1.64389 0.845715 1.89933 -1.1864 -0.318169
1.65247 0.854286 1.88915 -1.18907 -0.305395
1.66104 0.862858 1.87895 -1.19194 -0.401594
1.66961 0.871429 1.86872 -1.19603 -0.552358
1.67818 0.88 1.85844 -1.20141 -0.703122
1.68675 0.888572 1.84812 -1.20809 -0.853886
1.69532 0.897143 1.83773 -1.21605 -1.00465
1.70389 0.905715 1.82727 -1.22531 -1.15541
1.71247 0.914286 1.81672 -1.23586 -1.30618
1.72104 0.922858 1.80608 -1.2477 -1.45694
