total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=15)
[[0.226752],[0.369609],[0.512468],[0.655326],[0.798180],[0.941039],[1.083893],[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752]]

yData (#.=15)
[-0.040298,0.010726,0.062910,0.089677,0.073987,0.023691,-0.063809,-0.169722,-0.349168,-0.533894,-0.733529,-0.962342,-1.204677,-1.435824,-1.637739]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 30
-0.327534 -1.12571 -0.0850675 -0.892787 11.4525
-0.318962 -1.11714 -0.0923096 -0.798241 10.6083
-0.310391 -1.10857 -0.0987723 -0.71093 9.76415
-0.30182 -1.1 -0.104518 -0.630855 8.91997
-0.293248 -1.09143 -0.109608 -0.558016 8.07578
-0.284677 -1.08286 -0.114104 -0.492413 7.23159
-0.276105 -1.07429 -0.11807 -0.434046 6.38741
-0.267534 -1.06571 -0.121566 -0.382915 5.54322
-0.258962 -1.05714 -0.124655 -0.33902 4.69903
-0.250391 -1.04857 -0.127398 -0.30236 3.85484
-0.24182 -1.04 -0.129859 -0.272937 3.01066
-0.233248 -1.03143 -0.132098 -0.250749 2.16647
-0.224677 -1.02286 -0.134178 -0.235797 1.32228
-0.216105 -1.01429 -0.136161 -0.228081 0.478094
-0.207534 -1.00571 -0.138108 -0.227601 -0.366093
-0.198962 -0.997142 -0.140083 -0.233803 -0.822126
-0.190391 -0.988571 -0.142113 -0.239478 -0.502051
-0.18182 -0.979999 -0.14418 -0.242409 -0.181976
-0.173248 -0.971428 -0.146261 -0.242597 0.138099
-0.164677 -0.962857 -0.148331 -0.240042 0.458174
-0.156105 -0.954285 -0.150368 -0.234743 0.77825
-0.147534 -0.945714 -0.152347 -0.2267 1.09832
-0.138962 -0.937142 -0.154246 -0.215914 1.4184
-0.130391 -0.928571 -0.156041 -0.202385 1.73847
-0.12182 -0.919999 -0.157708 -0.186112 2.05855
-0.113248 -0.911428 -0.159224 -0.167095 2.37862
-0.104677 -0.902857 -0.160565 -0.145335 2.6987
-0.0961052 -0.894285 -0.161707 -0.120832 3.01877
-0.0875338 -0.885714 -0.162628 -0.093585 3.33885
-0.0789624 -0.877142 -0.163304 -0.0635946 3.65893
-0.0703909 -0.868571 -0.16371 -0.0308606 3.979
-0.0618195 -0.859999 -0.163825 0.00461686 4.29908
-0.0532481 -0.851428 -0.163625 0.042032 4.33704
-0.0446767 -0.842857 -0.163107 0.0787644 4.23386
-0.0361052 -0.834285 -0.162277 0.114612 4.13067
-0.0275338 -0.825714 -0.161144 0.149576 4.02748
-0.0189624 -0.817142 -0.159716 0.183655 3.9243
-0.0103909 -0.808571 -0.157999 0.21685 3.82111
-0.00181951 -0.799999 -0.156001 0.24916 3.71792
0.00675192 -0.791428 -0.15373 0.280585 3.61474
0.0153233 -0.782857 -0.151193 0.311127 3.51155
0.0238948 -0.774285 -0.148399 0.340783 3.40836
0.0324662 -0.765714 -0.145354 0.369556 3.30518
0.0410376 -0.757142 -0.142066 0.397443 3.20199
0.0496091 -0.748571 -0.138543 0.424447 3.0988
0.0581805 -0.739999 -0.134792 0.450566 2.99562
0.0667519 -0.731428 -0.130822 0.4758 2.89243
0.0753233 -0.722857 -0.126638 0.50015 2.78924
0.0838948 -0.714285 -0.12225 0.523616 2.686
0.0924662 -0.705714 -0.117668 0.545107 2.32864
0.101038 -0.697142 -0.112914 0.563535 1.97129
