Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
0.23818 -0.559999 -0.918672 -0.028395 0.287592
0.246752 -0.551428 -0.918905 -0.0259329 0.286898
0.255323 -0.542857 -0.919117 -0.0234768 0.286205
0.263895 -0.534285 -0.919308 -0.0210265 0.285511
0.272466 -0.525714 -0.919477 -0.0185823 0.284817
0.281038 -0.517142 -0.919626 -0.016144 0.284123
0.289609 -0.508571 -0.919754 -0.0137116 0.283429
0.29818 -0.499999 -0.919861 -0.0112852 0.282735
0.306752 -0.491428 -0.919948 -0.00886471 0.282041
0.315323 -0.482857 -0.920013 -0.00645019 0.281348
0.323895 -0.474285 -0.920058 -0.00404161 0.280654
0.332466 -0.465714 -0.920083 -0.00163898 0.27996
0.341038 -0.457142 -0.920086 0.000757702 0.279266
0.349609 -0.448571 -0.92007 0.00314844 0.278572
0.35818 -0.439999 -0.920032 0.00553323 0.277878
0.366752 -0.431428 -0.919975 0.00791207 0.277185
0.375323 -0.422857 -0.919897 0.010198 0.246055
0.383895 -0.414285 -0.919801 0.0121084 0.199707
0.392466 -0.405714 -0.91969 0.0136215 0.153359
0.401038 -0.397142 -0.919569 0.0147374 0.107011
0.409609 -0.388571 -0.919439 0.015456 0.0606635
0.41818 -0.379999 -0.919305 0.0157774 0.0143157
0.426752 -0.371428 -0.91917 0.0157014 -0.032032
0.435323 -0.362857 -0.919037 0.0152282 -0.0783798
0.443895 -0.354285 -0.91891 0.0143578 -0.124728
0.452466 -0.345714 -0.918792 0.0130901 -0.171075
0.461038 -0.337142 -0.918686 0.0114251 -0.217423
0.469609 -0.328571 -0.918597 0.0093628 -0.263771
0.47818 -0.319999 -0.918527 0.00690328 -0.310119
0.486752 -0.311428 -0.91848 0.00404649 -0.356466
0.495323 -0.302857 -0.918459 0.000792428 -0.402814
0.503895 -0.294285 -0.918467 -0.0028589 -0.449162
0.512466 -0.285714 -0.918509 -0.00690749 -0.49551
0.521038 -0.277142 -0.918586 -0.0109082 -0.437968
0.529609 -0.268571 -0.918695 -0.0144155 -0.380404
0.53818 -0.259999 -0.918831 -0.0174294 -0.322841
0.546752 -0.251428 -0.918992 -0.0199499 -0.265277
0.555323 -0.242857 -0.919172 -0.021977 -0.207714
0.563895 -0.234285 -0.919367 -0.0235107 -0.15015
0.572466 -0.225714 -0.919574 -0.024551 -0.0925866
0.581038 -0.217142 -0.919787 -0.0250979 -0.035023
0.589609 -0.208571 -0.920002 -0.0251514 0.0225405
0.59818 -0.199999 -0.920217 -0.0247115 0.0801041
0.606752 -0.191428 -0.920425 -0.0237782 0.137668
0.615323 -0.182857 -0.920623 -0.0223515 0.195231
0.623895 -0.174285 -0.920806 -0.0204314 0.252795
0.632466 -0.165714 -0.920972 -0.0180179 0.310358
0.641038 -0.157142 -0.921114 -0.015111 0.367922
0.649609 -0.148571 -0.921229 -0.0117106 0.425486
0.65818 -0.139999 -0.921313 -0.00786571 0.448866
0.666752 -0.131428 -0.921365 -0.0042115 0.403784
0.675323 -0.122857 -0.921387 -0.000943706 0.358702
0.683895 -0.114285 -0.921382 0.00193767 0.31362
0.692466 -0.105714 -0.921354 0.00443263 0.268537
0.701038 -0.0971423 -0.921307 0.00654117 0.223455
0.709609 -0.0885709 -0.921243 0.00826329 0.178373
0.71818 -0.0799994 -0.921167 0.00959899 0.133291
0.726752 -0.071428 -0.92108 0.0105483 0.0882087
0.735323 -0.0628566 -0.920987 0.0111111 0.0431266
0.743895 -0.0542852 -0.920891 0.0112876 -0.00195557
0.752466 -0.0457137 -0.920795 0.0110776 -0.0470377
0.761038 -0.0371423 -0.920702 0.0104812 -0.0921199
0.769609 -0.0285709 -0.920616 0.00949842 -0.137202
0.77818 -0.0199994 -0.92054 0.00812919 -0.182284
0.786752 -0.011428 -0.920478 0.00637355 -0.227366
0.795323 -0.00285659 -0.920432 0.00423148 -0.272449
0.803895 0.00571484 -0.920406 0.00184424 -0.268101
0.812466 0.0142863 -0.9204 -0.000329246 -0.239045
0.821038 0.0228577 -0.920411 -0.00225368 -0.209989
0.829609 0.0314291 -0.920438 -0.00392906 -0.180933
0.83818 0.0400006 -0.920478 -0.0053554 -0.151878
0.846752 0.048572 -0.920529 -0.00653268 -0.122822
0.855323 0.0571434 -0.920589 -0.00746091 -0.0937656
0.863895 0.0657148 -0.920656 -0.00814009 -0.0647097
0.872466 0.0742863 -0.920728 -0.00857022 -0.0356537
0.881038 0.0828577 -0.920802 -0.0087513 -0.0065978
0.889609 0.0914291 -0.920877 -0.00868332 0.0224581
0.89818 0.100001 -0.92095 -0.0083663 0.0515141
0.906752 0.108572 -0.92102 -0.00780023 0.08057
0.915323 0.117143 -0.921083 -0.0069851 0.109626
0.923895 0.125715 -0.921139 -0.00592092 0.138682
0.932466 0.134286 -0.921184 -0.0046077 0.167738
0.941038 0.142858 -0.921217 -0.00304542 0.196794
0.949609 0.151429 -0.921236 -0.00148291 0.167783
0.95818 0.160001 -0.921243 -0.000169142 0.138762
0.966752 0.168572 -0.92124 0.000895874 0.109742
0.975323 0.177143 -0.921228 0.00171214 0.080721
0.983895 0.185715 -0.921211 0.00227966 0.0517004
0.992466 0.194286 -0.92119 0.00259843 0.0226798
1.00104 0.202858 -0.921167 0.00266846 -0.00634082
1.00961 0.211429 -0.921145 0.00248973 -0.0353614
1.01818 0.220001 -0.921125 0.00206226 -0.064382
1.02675 0.228572 -0.92111 0.00138604 -0.0934026
1.03532 0.237143 -0.921102 0.000461075 -0.122423
1.04389 0.245715 -0.921103 -0.000712641 -0.151444
1.05247 0.254286 -0.921115 -0.0021351 -0.180464
1.06104 0.262858 -0.921141 -0.00380632 -0.209485
1.06961 0.271429 -0.921181 -0.00572628 -0.238506
1.07818 0.280001 -0.921239 -0.00789498 -0.267526
1.08675 0.288572 -0.921317 -0.0102864 -0.278364
1.09532 0.297143 -0.921415 -0.0125632 -0.252868
1.10389 0.305715 -0.921532 -0.0146213 -0.227373
1.11247 0.314286 -0.921665 -0.016461 -0.201877
1.12104 0.322858 -0.921814 -0.0180821 -0.176382
1.12961 0.331429 -0.921975 -0.0194847 -0.150886
1.13818 0.340001 -0.922147 -0.0206687 -0.125391
1.14675 0.348572 -0.922328 -0.0216342 -0.0998951
1.15532 0.357143 -0.922517 -0.0223812 -0.0743995
1.16389 0.365715 -0.922711 -0.0229096 -0.048904
1.17247 0.374286 -0.922909 -0.0232195 -0.0234085
1.18104 0.382858 -0.923109 -0.0233109 0.00208702
1.18961 0.391429 -0.923308 -0.0231838 0.0275825
1.19818 0.400001 -0.923506 -0.0228381 0.0530781
1.20675 0.408572 -0.923699 -0.0222739 0.0785736
1.21532 0.417143 -0.923887 -0.0214911 0.104069
1.22389 0.425715 -0.924067 -0.0204898 0.129565
1.23247 0.434286 -0.924238 -0.0193677 0.120855
1.24104 0.442858 -0.9244 -0.0184424 0.0950423
1.24961 0.451429 -0.924555 -0.0177384 0.0692293
1.25818 0.460001 -0.924704 -0.0172557 0.0434163
1.26675 0.468572 -0.924851 -0.0169941 0.0176034
1.27532 0.477143 -0.924996 -0.0169539 -0.0082096
1.28389 0.485715 -0.925142 -0.0171349 -0.0340226
1.29247 0.494286 -0.925291 -0.0175371 -0.0598355
1.30104 0.502858 -0.925444 -0.0181606 -0.0856485
1.30961 0.511429 -0.925603 -0.0190054 -0.111461
1.31818 0.520001 -0.92577 -0.0200714 -0.137274
1.32675 0.528572 -0.925947 -0.0213587 -0.163087
1.33532 0.537143 -0.926137 -0.0228672 -0.1889
1.34389 0.545715 -0.92634 -0.024597 -0.214713
1.35247 0.554286 -0.926559 -0.026548 -0.240526
1.36104 0.562858 -0.926796 -0.0287203 -0.266339
1.36961 0.571429 -0.927052 -0.0311138 -0.292152
1.37818 0.580001 -0.927329 -0.0335262 -0.270736
1.38675 0.588572 -0.927626 -0.035755 -0.24932
1.39532 0.597143 -0.927942 -0.0378002 -0.227904
1.40389 0.605715 -0.928274 -0.0396619 -0.206488
1.41247 0.614286 -0.928621 -0.04134 -0.185072
1.42104 0.622858 -0.928982 -0.0428346 -0.163656
1.42961 0.631429 -0.929355 -0.0441456 -0.14224
1.43818 0.640001 -0.929738 -0.045273 -0.120824
1.44675 0.648572 -0.93013 -0.0462168 -0.0994078
1.45532 0.657143 -0.93053 -0.0469771 -0.0779918
1.46389 0.665715 -0.930935 -0.0475538 -0.0565758
1.47247 0.674286 -0.931345 -0.047947 -0.0351597
1.48104 0.682858 -0.931757 -0.0481566 -0.0137437
1.48961 0.691429 -0.93217 -0.0481826 0.00767238
1.49818 0.700001 -0.932582 -0.048025 0.0290884
1.50675 0.708572 -0.932992 -0.0476839 0.0505045
1.51532 0.717143 -0.933399 -0.0471784 0.0585041
1.52389 0.725715 -0.933801 -0.0467578 0.0396449
1.53247 0.734286 -0.934201 -0.0464988 0.0207857
1.54104 0.742858 -0.934599 -0.0464014 0.00192646
1.54961 0.751429 -0.934997 -0.0464658 -0.0169328
1.55818 0.76 -0.935396 -0.0466917 -0.035792
1.56675 0.768572 -0.935798 -0.0470793 -0.0546512
1.57532 0.777143 -0.936204 -0.0476286 -0.0735104
1.58389 0.785715 -0.936615 -0.0483395 -0.0923697
1.59247 0.794286 -0.937033 -0.0492121 -0.111229
1.60104 0.802858 -0.937459 -0.0502463 -0.130088
1.60961 0.811429 -0.937895 -0.0514422 -0.148947
1.61818 0.82 -0.938341 -0.0527997 -0.167807
1.62675 0.828572 -0.9388 -0.0543188 -0.186666
1.63532 0.837143 -0.939273 -0.0559997 -0.205525
1.64389 0.845715 -0.939761 -0.0578421 -0.224384
1.65247 0.854286 -0.940265 -0.0598462 -0.243243
1.66104 0.862858 -0.940787 -0.0619567 -0.242717
1.66961 0.871429 -0.941327 -0.0639932 -0.232483
1.67818 0.88 -0.941884 -0.0659421 -0.222249
1.68675 0.888572 -0.942457 -0.0678032 -0.212015
1.69532 0.897143 -0.943046 -0.0695766 -0.201781
1.70389 0.905715 -0.943649 -0.0712623 -0.191548
1.71247 0.914286 -0.944267 -0.0728603 -0.181314
1.72104 0.922858 -0.944898 -0.0743706 -0.17108
1.72961 0.931429 -0.945542 -0.0757931 -0.160846
1.73818 0.94 -0.946197 -0.0771279 -0.150612
1.74675 0.948572 -0.946864 -0.078375 -0.140379
1.75532 0.957143 -0.947541 -0.0795344 -0.130145
1.76389 0.965715 -0.948227 -0.0806061 -0.119911
1.77247 0.974286 -0.948922 -0.08159 -0.109677
1.78104 0.982858 -0.949625 -0.0824863 -0.0994436
1.78961 0.991429 -0.950336 -0.0832948 -0.0892098
1.79818 1 -0.951053 -0.0840156 -0.0789767
1.80675 1.00857 -0.951776 -0.0847068 -0.0823056
1.81532 1.01714 -0.952505 -0.0854265 -0.0856345
1.82389 1.02571 -0.953241 -0.0861748 -0.0889634
1.83247 1.03429 -0.953983 -0.0869516 -0.0922923
1.84104 1.04286 -0.954731 -0.087757 -0.0956212
1.84961 1.05143 -0.955487 -0.0885908 -0.0989501
1.85818 1.06 -0.95625 -0.0894532 -0.102279
1.86675 1.06857 -0.957021 -0.0903442 -0.105608
1.87532 1.07714 -0.957799 -0.0912637 -0.108937
1.88389 1.08571 -0.958585 -0.0922117 -0.112266
1.89247 1.09429 -0.95938 -0.0931882 -0.115595
1.90104 1.10286 -0.960183 -0.0941933 -0.118924
1.90961 1.11143 -0.960995 -0.0952269 -0.122252
1.91818 1.12 -0.961815 -0.0962891 -0.125581
1.92675 1.12857 -0.962645 -0.0973797 -0.12891
1.93532 1.13714 -0.963485 -0.0984989 -0.132239
1.94389 1.14571 -0.964334 -0.0996444 -0.133943
1.95247 1.15429 -0.965193 -0.100786 -0.132394
1.96104 1.16286 -0.966062 -0.101914 -0.130844
1.96961 1.17143 -0.96694 -0.103029 -0.129295
1.97818 1.18 -0.967828 -0.10413 -0.127746
1.98675 1.18857 -0.968725 -0.105219 -0.126197
1.99532 1.19714 -0.969632 -0.106294 -0.124647
2.00389 1.20571 -0.970547 -0.107356 -0.123098
2.01247 1.21429 -0.971472 -0.108404 -0.121549
2.02104 1.22286 -0.972406 -0.109439 -0.12
2.02961 1.23143 -0.973348 -0.110461 -0.11845
2.03818 1.24 -0.974299 -0.11147 -0.116901
2.04675 1.24857 -0.975259 -0.112465 -0.115352
2.05532 1.25714 -0.976227 -0.113447 -0.113803
2.06389 1.26571 -0.977204 -0.114416 -0.112254
