Raw Data                               
log.afreq  log.sfreq  log.loss  storage
=======================================
-0.773248 -1.57143 -0.643019 2.72
0.306752 -0.491428 -0.79316 -0.0320143 -0.149813
0.315323 -0.482857 -0.79344 -0.0335193 -0.201351
0.323895 -0.474285 -0.793736 -0.0354661 -0.25289
0.332466 -0.465714 -0.79405 -0.0378546 -0.304428
0.341038 -0.457142 -0.794386 -0.0406848 -0.355967
0.349609 -0.448571 -0.794748 -0.0439569 -0.407505
0.35818 -0.439999 -0.795141 -0.0476707 -0.459044
0.366752 -0.431428 -0.795567 -0.0518262 -0.510582
0.375323 -0.422857 -0.79603 -0.0562018 -0.484531
0.383895 -0.414285 -0.796529 -0.060077 -0.419685
0.392466 -0.405714 -0.797058 -0.0633964 -0.354839
0.401038 -0.397142 -0.797614 -0.06616 -0.289993
0.409609 -0.388571 -0.798191 -0.0683677 -0.225148
0.41818 -0.379999 -0.798784 -0.0700196 -0.160302
0.426752 -0.371428 -0.79939 -0.0711157 -0.0954563
0.435323 -0.362857 -0.800002 -0.071656 -0.0306106
0.443895 -0.354285 -0.800616 -0.0716405 0.0342351
0.452466 -0.345714 -0.801228 -0.0710691 0.0990808
0.461038 -0.337142 -0.801833 -0.069942 0.163926
0.469609 -0.328571 -0.802426 -0.068259 0.228772
0.47818 -0.319999 -0.803002 -0.0660202 0.293618
0.486752 -0.311428 -0.803556 -0.0632255 0.358464
0.495323 -0.302857 -0.804084 -0.0598751 0.423309
0.503895 -0.294285 -0.804581 -0.0559688 0.488155
0.512466 -0.285714 -0.805042 -0.0515067 0.553001
0.521038 -0.277142 -0.805464 -0.0469569 0.508588
0.529609 -0.268571 -0.805848 -0.042788 0.464153
0.53818 -0.259999 -0.806198 -0.039 0.419717
0.546752 -0.251428 -0.806518 -0.0355929 0.375281
0.555323 -0.242857 -0.806809 -0.0325666 0.330846
0.563895 -0.234285 -0.807077 -0.0299213 0.28641
0.572466 -0.225714 -0.807323 -0.0276568 0.241975
0.581038 -0.217142 -0.807552 -0.0257731 0.197539
0.589609 -0.208571 -0.807766 -0.0242704 0.153103
0.59818 -0.199999 -0.807969 -0.0231485 0.108668
0.606752 -0.191428 -0.808164 -0.0224075 0.0642321
0.615323 -0.182857 -0.808355 -0.0220474 0.0197965
0.623895 -0.174285 -0.808543 -0.0220681 -0.0246392
0.632466 -0.165714 -0.808734 -0.0224698 -0.0690748
0.641038 -0.157142 -0.80893 -0.0232523 -0.11351
0.649609 -0.148571 -0.809134 -0.0244157 -0.157946
0.65818 -0.139999 -0.809349 -0.0259237 -0.176985
0.666752 -0.131428 -0.809578 -0.0273043 -0.145161
0.675323 -0.122857 -0.809817 -0.0284121 -0.113336
0.683895 -0.114285 -0.810064 -0.0292472 -0.0815112
0.692466 -0.105714 -0.810317 -0.0298095 -0.0496865
0.701038 -0.0971423 -0.810574 -0.030099 -0.0178617
0.709609 -0.0885709 -0.810832 -0.0301157 0.013963
0.71818 -0.0799994 -0.81109 -0.0298596 0.0457877
0.726752 -0.071428 -0.811343 -0.0293307 0.0776124
0.735323 -0.0628566 -0.811592 -0.0285291 0.109437
0.743895 -0.0542852 -0.811832 -0.0274547 0.141262
0.752466 -0.0457137 -0.812061 -0.0261075 0.173087
0.761038 -0.0371423 -0.812279 -0.0244875 0.204911
0.769609 -0.0285709 -0.812481 -0.0225947 0.236736
0.77818 -0.0199994 -0.812665 -0.0204291 0.268561
0.786752 -0.011428 -0.81283 -0.0179908 0.300385
0.795323 -0.00285659 -0.812973 -0.0152797 0.33221
0.803895 0.00571484 -0.813091 -0.0124318 0.316413
0.812466 0.0142863 -0.813187 -0.00988946 0.276811
0.821038 0.0228577 -0.813262 -0.00768652 0.237208
0.829609 0.0314291 -0.81332 -0.00582303 0.197606
0.83818 0.0400006 -0.813363 -0.00429899 0.158003
0.846752 0.048572 -0.813394 -0.0031144 0.118401
0.855323 0.0571434 -0.813417 -0.00226926 0.0787986
0.863895 0.0657148 -0.813434 -0.00176357 0.0391962
0.872466 0.0742863 -0.813448 -0.00159732 -0.000406216
0.881038 0.0828577 -0.813462 -0.00177053 -0.0400086
0.889609 0.0914291 -0.81348 -0.00228319 -0.079611
0.89818 0.100001 -0.813503 -0.00313529 -0.119213
0.906752 0.108572 -0.813534 -0.00432684 -0.158816
0.915323 0.117143 -0.813578 -0.00585785 -0.198418
0.923895 0.125715 -0.813636 -0.0077283 -0.238021
0.932466 0.134286 -0.813711 -0.0099382 -0.277623
0.941038 0.142858 -0.813807 -0.0124876 -0.317225
0.949609 0.151429 -0.813925 -0.015046 -0.279735
0.95818 0.160001 -0.814064 -0.017283 -0.242232
0.966752 0.168572 -0.814221 -0.0191986 -0.204729
0.975323 0.177143 -0.814392 -0.0207927 -0.167226
0.983895 0.185715 -0.814576 -0.0220653 -0.129723
0.992466 0.194286 -0.81477 -0.0230165 -0.0922202
1.00104 0.202858 -0.81497 -0.0236462 -0.0547173
1.00961 0.211429 -0.815174 -0.0239545 -0.0172143
1.01818 0.220001 -0.815379 -0.0239413 0.0202887
1.02675 0.228572 -0.815583 -0.0236067 0.0577917
1.03532 0.237143 -0.815783 -0.0229506 0.0952946
1.04389 0.245715 -0.815976 -0.0219731 0.132798
1.05247 0.254286 -0.816159 -0.0206741 0.170301
1.06104 0.262858 -0.81633 -0.0190536 0.207804
1.06961 0.271429 -0.816485 -0.0171117 0.245307
1.07818 0.280001 -0.816622 -0.0148484 0.282809
1.08675 0.288572 -0.816738 -0.0122988 0.295692
1.09532 0.297143 -0.816833 -0.00991989 0.259378
1.10389 0.305715 -0.816909 -0.00785228 0.223063
1.11247 0.314286 -0.816969 -0.00609594 0.186749
1.12104 0.322858 -0.817015 -0.00465087 0.150435
1.12961 0.331429 -0.81705 -0.00351706 0.114121
1.13818 0.340001 -0.817076 -0.00269452 0.0778063
1.14675 0.348572 -0.817097 -0.00218324 0.0414921
1.15532 0.357143 -0.817114 -0.00198323 0.00517783
1.16389 0.365715 -0.817131 -0.00209448 -0.0311364
1.17247 0.374286 -0.817151 -0.00251699 -0.0674507
1.18104 0.382858 -0.817176 -0.00325077 -0.103765
1.18961 0.391429 -0.817208 -0.00429582 -0.140079
1.19818 0.400001 -0.81725 -0.00565213 -0.176393
1.20675 0.408572 -0.817305 -0.00731971 -0.212708
1.21532 0.417143 -0.817376 -0.00929855 -0.249022
1.22389 0.425715 -0.817466 -0.0115887 -0.285336
1.23247 0.434286 -0.817576 -0.0140796 -0.282994
1.24104 0.442858 -0.817707 -0.0164124 -0.261322
1.24961 0.451429 -0.817857 -0.0185594 -0.23965
1.25818 0.460001 -0.818024 -0.0205206 -0.217978
1.26675 0.468572 -0.818208 -0.0222961 -0.196306
1.27532 0.477143 -0.818406 -0.0238859 -0.174634
1.28389 0.485715 -0.818617 -0.0252899 -0.152961
1.29247 0.494286 -0.818839 -0.0265081 -0.131289
1.30104 0.502858 -0.819071 -0.0275405 -0.109617
1.30961 0.511429 -0.81931 -0.0283872 -0.0879453
1.31818 0.520001 -0.819557 -0.0290482 -0.0662733
1.32675 0.528572 -0.819808 -0.0295233 -0.0446012
1.33532 0.537143 -0.820062 -0.0298128 -0.0229292
1.34389 0.545715 -0.820318 -0.0299164 -0.00125715
1.35247 0.554286 -0.820575 -0.0298343 0.0204149
1.36104 0.562858 -0.820829 -0.0295664 0.0420869
1.36961 0.571429 -0.821081 -0.0291128 0.063759
1.37818 0.580001 -0.821328 -0.0286157 0.0522301
1.38675 0.588572 -0.821572 -0.0282174 0.0407012
1.39532 0.597143 -0.821812 -0.027918 0.0291723
1.40389 0.605715 -0.822051 -0.0277173 0.0176434
1.41247 0.614286 -0.822288 -0.0276155 0.00611453
1.42104 0.622858 -0.822524 -0.0276125 -0.00541436
1.42961 0.631429 -0.822761 -0.0277083 -0.0169432
1.43818 0.640001 -0.823 -0.027903 -0.0284721
1.44675 0.648572 -0.82324 -0.0281964 -0.040001
1.45532 0.657143 -0.823483 -0.0285887 -0.0515299
1.46389 0.665715 -0.82373 -0.0290798 -0.0630588
1.47247 0.674286 -0.823982 -0.0296697 -0.0745877
1.48104 0.682858 -0.824239 -0.0303585 -0.0861166
1.48961 0.691429 -0.824503 -0.031146 -0.0976454
1.49818 0.700001 -0.824774 -0.0320324 -0.109174
1.50675 0.708572 -0.825052 -0.0330176 -0.120703
1.51532 0.717143 -0.82534 -0.034095 -0.1276
1.52389 0.725715 -0.825637 -0.0351785 -0.125225
1.53247 0.734286 -0.825943 -0.0362417 -0.12285
1.54104 0.742858 -0.826258 -0.0372845 -0.120474
1.54961 0.751429 -0.826582 -0.0383069 -0.118099
1.55818 0.76 -0.826915 -0.039309 -0.115723
1.56675 0.768572 -0.827256 -0.0402908 -0.113348
1.57532 0.777143 -0.827605 -0.0412521 -0.110972
1.58389 0.785715 -0.827963 -0.0421932 -0.108597
1.59247 0.794286 -0.828328 -0.0431138 -0.106222
1.60104 0.802858 -0.828702 -0.0440141 -0.103846
1.60961 0.811429 -0.829083 -0.044894 -0.101471
1.61818 0.82 -0.829471 -0.0457536 -0.0990954
1.62675 0.828572 -0.829867 -0.0465928 -0.09672
1.63532 0.837143 -0.83027 -0.0474117 -0.0943445
