PBMA-051820115, 18.5.2015, 9:39
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 3.7276e+01	 6.0000e+01	 2.7907e+00	 1.1030e-01
 2.6827e+01	 6.0000e+01	 2.8067e+00	 9.7442e-02
 1.9307e+01	 6.0000e+01	 2.8193e+00	 8.8305e-02
 1.3895e+01	 6.0000e+01	 2.8292e+00	 8.3542e-02
 1.0000e+01	 6.0000e+01	 2.8369e+00	 8.3575e-02
 7.1969e+00	 6.0000e+01	 2.8430e+00	 8.9635e-02
 5.1795e+00	 6.0000e+01	 2.8477e+00	 1.0283e-01
 3.7276e+00	 6.0000e+01	 2.8515e+00	 1.2548e-01
 2.6827e+00	 6.0000e+01	 2.8547e+00	 1.6022e-01
 1.9307e+00	 6.0000e+01	 2.8580e+00	 2.1084e-01
 1.3895e+00	 6.0000e+01	 2.8605e+00	 2.8369e-01
 1.0000e+00	 6.0000e+01	 2.8645e+00	 3.8589e-01
 7.1969e-01	 6.0000e+01	 2.8683e+00	 5.2835e-01
 5.1795e-01	 6.0000e+01	 2.8769e+00	 7.2709e-01
 3.7276e-01	 6.0000e+01	 2.8891e+00	 1.0008e+00
 2.6827e-01	 6.0000e+01	 2.9070e+00	 1.3760e+00
 1.9307e-01	 6.0000e+01	 2.9341e+00	 1.8843e+00
 1.3895e-01	 6.0000e+01	 2.9721e+00	 2.5876e+00
 1.0000e-01	 6.0000e+01	 3.0241e+00	 3.5348e+00
 7.1969e-02	 6.0000e+01	 3.0918e+00	 4.8501e+00
 5.1795e-02	 6.0000e+01	 3.1974e+00	 6.6539e+00
 3.7276e-02	 6.0000e+01	 3.3495e+00	 9.1187e+00
 2.6827e-02	 6.0000e+01	 3.5781e+00	 1.2502e+01
 1.0000e+07	 5.5000e+01	 1.6973e+00	-6.2675e-02
 7.1969e+06	 5.5000e+01	 1.7101e+00	 1.2580e-02
 5.1795e+06	 5.5000e+01	 1.7083e+00	 1.2867e-02
 3.7276e+06	 5.5000e+01	 1.7092e+00	 9.9031e-03
 2.6827e+06	 5.5000e+01	 1.7069e+00	 1.7331e-02
 1.9307e+06	 5.5000e+01	 1.7103e+00	 2.2358e-02
 1.3895e+06	 5.5000e+01	 1.7146e+00	 2.9601e-02
 1.0000e+06	 5.5000e+01	 1.7213e+00	 3.4324e-02
 7.1969e+05	 5.5000e+01	 1.7238e+00	 3.9238e-02
 5.1795e+05	 5.5000e+01	 1.7311e+00	 4.2546e-02
 3.7276e+05	 5.5000e+01	 1.7393e+00	 4.6308e-02
 2.6827e+05	 5.5000e+01	 1.7482e+00	 5.0605e-02
 1.9307e+05	 5.5000e+01	 1.7581e+00	 5.5582e-02
 1.3895e+05	 5.5000e+01	 1.7689e+00	 6.1323e-02
 1.0000e+05	 5.5000e+01	 1.7762e+00	 6.8453e-02
 7.1969e+04	 5.5000e+01	 1.7897e+00	 7.6251e-02
 5.1795e+04	 5.5000e+01	 1.8048e+00	 8.5084e-02
 3.7276e+04	 5.5000e+01	 1.8216e+00	 9.5135e-02
 2.6827e+04	 5.5000e+01	 1.8408e+00	 1.0637e-01
 1.9307e+04	 5.5000e+01	 1.8626e+00	 1.1886e-01
 1.3895e+04	 5.5000e+01	 1.8872e+00	 1.3254e-01
 1.0000e+04	 5.5000e+01	 1.9151e+00	 1.4726e-01
 7.1969e+03	 5.5000e+01	 1.9464e+00	 1.6286e-01
 5.1795e+03	 5.5000e+01	 1.9818e+00	 1.7916e-01
 3.7276e+03	 5.5000e+01	 2.0220e+00	 1.9567e-01
 2.6827e+03	 5.5000e+01	 2.0658e+00	 2.1177e-01
 1.9307e+03	 5.5000e+01	 2.1143e+00	 2.2690e-01
 1.3895e+03	 5.5000e+01	 2.1661e+00	 2.4016e-01
 1.0000e+03	 5.5000e+01	 2.2220e+00	 2.5092e-01
 7.1969e+02	 5.5000e+01	 2.2809e+00	 2.5835e-01
 5.1795e+02	 5.5000e+01	 2.3413e+00	 2.6177e-01
 3.7276e+02	 5.5000e+01	 2.4025e+00	 2.6083e-01
 2.6827e+02	 5.5000e+01	 2.4629e+00	 2.5543e-01
 1.9307e+02	 5.5000e+01	 2.5222e+00	 2.4497e-01
 1.3895e+02	 5.5000e+01	 2.5758e+00	 2.3240e-01
 1.0000e+02	 5.5000e+01	 2.6262e+00	 2.1613e-01
 7.1969e+01	 5.5000e+01	 2.6717e+00	 1.9794e-01
 5.1795e+01	 5.5000e+01	 2.7117e+00	 1.7893e-01
 3.7276e+01	 5.5000e+01	 2.7460e+00	 1.6010e-01
 2.6827e+01	 5.5000e+01	 2.7753e+00	 1.4233e-01
 1.9307e+01	 5.5000e+01	 2.7996e+00	 1.2643e-01
 1.3895e+01	 5.5000e+01	 2.8197e+00	 1.1321e-01
 1.0000e+01	 5.5000e+01	 2.8362e+00	 1.0328e-01
 7.1969e+00	 5.5000e+01	 2.8497e+00	 9.7522e-02
 5.1795e+00	 5.5000e+01	 2.8601e+00	 9.5514e-02
 3.7276e+00	 5.5000e+01	 2.8687e+00	 1.0097e-01
 2.6827e+00	 5.5000e+01	 2.8754e+00	 1.1308e-01
 1.9307e+00	 5.5000e+01	 2.8809e+00	 1.3448e-01
 1.3895e+00	 5.5000e+01	 2.8851e+00	 1.6871e-01
 1.0000e+00	 5.5000e+01	 2.8898e+00	 2.1867e-01
 7.1969e-01	 5.5000e+01	 2.8926e+00	 2.9161e-01
 5.1795e-01	 5.5000e+01	 2.8979e+00	 3.9336e-01
 3.7276e-01	 5.5000e+01	 2.9049e+00	 5.3691e-01
 2.6827e-01	 5.5000e+01	 2.9120e+00	 7.3410e-01
 1.9307e-01	 5.5000e+01	 2.9249e+00	 1.0050e+00
 1.3895e-01	 5.5000e+01	 2.9444e+00	 1.3761e+00
 1.0000e-01	 5.5000e+01	 2.9731e+00	 1.8823e+00
 7.1969e-02	 5.5000e+01	 3.0118e+00	 2.5802e+00
 5.1795e-02	 5.5000e+01	 3.0654e+00	 3.5415e+00
 3.7276e-02	 5.5000e+01	 3.1339e+00	 4.8685e+00
 2.6827e-02	 5.5000e+01	 3.2432e+00	 6.7269e+00
 1.0000e+07	 5.0000e+01	 1.7220e+00	-5.7717e-02
 7.1969e+06	 5.0000e+01	 1.7187e+00	-1.3430e-03
 5.1795e+06	 5.0000e+01	 1.7073e+00	 3.4091e-03
 3.7276e+06	 5.0000e+01	 1.7065e+00	 3.8296e-03
 2.6827e+06	 5.0000e+01	 1.7033e+00	 1.1399e-02
 1.9307e+06	 5.0000e+01	 1.7055e+00	 1.6499e-02
